Sample;Intensity;Prevalence;Year;Depth;Length;Area
184;0;0;1999;256;53;3
185;0;0;1999;256;60;3
186;0;0;1999;256;53;3
187;0;0;1999;256;51;3
188;0;0;1999;172;57;3
189;0;0;1999;172;42;3
190;0;0;1999;172;47;3
191;0;0;1999;172;40;3
192;0;0;1999;172;64;3
193;0;0;1999;172;55;3
194;0;0;1999;172;47;3
195;0;0;1999;172;38;3
196;0;0;1999;172;29;3
197;0;0;1999;172;31;3
198;0;0;1999;172;29;3
199;0;0;1999;172;29;3
200;0;0;1999;172;30;3
201;0;0;1999;172;28;3
202;0;0;1999;172;30;3
203;0;0;1999;172;29;3
204;0;0;1999;172;28;3
205;0;0;1999;172;30;3
206;0;0;1999;235;68;4
207;0;0;1999;235;50;4
208;0;0;1999;235;75;4
209;0;0;1999;235;50;4
210;0;0;1999;235;73;4
211;0;0;1999;278;40;4
212;0;0;1999;278;48;4
213;0;0;1999;278;44;4
214;0;0;1999;278;33;4
215;0;0;1999;278;49;4
216;0;0;1999;278;52;4
217;0;0;1999;278;36;4
218;0;0;1999;110;68;4
219;0;0;1999;110;42;4
220;0;0;1999;110;46;4
221;0;0;1999;110;51;4
222;0;0;1999;110;54;4
223;0;0;1999;110;54;4
224;0;0;1999;110;48;4
225;0;0;1999;110;53;4
226;0;0;1999;110;40;4
227;0;0;1999;110;33;4
228;0;0;1999;110;29;4
229;0;0;1999;110;36;4
230;0;0;1999;51;53;1
231;0;0;1999;51;53;1
232;0;0;1999;51;58;1
233;0;0;1999;51;49;1
234;0;0;1999;51;51;1
235;0;0;1999;51;51;1
236;0;0;1999;51;49;1
237;0;0;1999;85;47;1
238;0;0;1999;200;65;1
239;0;0;1999;200;63;1
240;0;0;1999;100;55;2
241;0;0;1999;100;55;2
242;0;0;1999;100;57;2
243;0;0;1999;100;62;2
244;0;0;1999;220;68;2
245;0;0;1999;99;64;3
246;0;0;1999;99;55;3
247;0;0;1999;99;57;3
248;0;0;1999;99;55;3
249;0;0;1999;99;77;3
250;0;0;1999;99;57;3
251;0;0;1999;99;62;3
252;0;0;1999;99;49;3
253;0;0;1999;99;56;3
254;0;0;1999;99;51;3
255;0;0;1999;270;54;3
256;0;0;1999;270;63;3
257;0;0;1999;270;58;3
258;0;0;1999;270;51;3
259;0;0;1999;270;49;3
260;0;0;1999;256;63;3
261;0;0;1999;256;66;3
262;0;0;1999;256;61;3
263;0;0;1999;256;70;3
264;0;0;1999;256;68;3
265;0;0;1999;172;62;3
266;0;0;1999;172;55;3
267;0;0;1999;172;28;3
268;0;0;1999;235;54;4
269;0;0;1999;278;59;4
270;0;0;1999;110;50;4
271;0;0;1999;110;74;4
272;0;0;1999;110;88;4
273;0;0;1999;150;90;2
274;0;0;1999;150;NA;2
275;0;0;1999;100;86;2
276;0;0;1999;100;65;2
277;0;0;1999;220;72;2
278;0;0;1999;270;63;3
279;0;0;2000;57;51;1
280;0;0;2000;57;57;1
281;0;0;2000;57;47;1
282;0;0;2000;50;48;1
283;0;0;2000;121;40;1
284;0;0;2000;121;58;1
285;0;0;2000;121;42;1
286;0;0;2000;121;36;1
287;0;0;2000;121;36;1
288;0;0;2000;121;51;1
289;0;0;2000;102;54;2
290;0;0;2000;102;62;2
291;0;0;2000;102;49;2
292;0;0;2000;102;75;2
293;0;0;2000;102;40;2
294;0;0;2000;102;35;2
295;0;0;2000;102;39;2
296;0;0;2000;102;48;2
297;0;0;2000;102;48;2
298;0;0;2000;102;53;2
299;0;0;2000;102;75;2
300;0;0;2000;102;36;2
301;0;0;2000;102;59;2
302;0;0;2000;102;61;2
303;0;0;2000;102;49;2
304;0;0;2000;102;46;2
305;0;0;2000;293;71;2
306;0;0;2000;293;46;2
307;0;0;2000;293;66;2
308;0;0;2000;237;47;2
309;0;0;2000;237;59;2
310;0;0;2000;237;39;2
311;0;0;2000;237;44;2
312;0;0;2000;237;31;2
313;0;0;2000;237;52;2
314;0;0;2000;237;50;2
315;0;0;2000;237;56;2
316;0;0;2000;285;77;3
317;0;0;2000;285;55;3
318;0;0;2000;285;70;3
319;0;0;2000;285;55;3
320;0;0;2000;285;34;3
321;0;0;2000;285;55;3
322;0;0;2000;285;79;3
323;0;0;2000;285;61;3
324;0;0;2000;285;47;3
325;0;0;2000;285;38;3
326;0;0;2000;285;58;3
327;0;0;2000;285;55;3
328;0;0;2000;285;49;3
329;0;0;2000;285;62;3
330;0;0;2000;285;59;3
331;0;0;2000;285;52;3
332;0;0;2000;285;80;3
333;0;0;2000;285;57;3
334;0;0;2000;285;59;3
335;0;0;2000;285;56;3
336;0;0;2000;285;67;3
337;0;0;2000;285;53;3
338;0;0;2000;285;30;3
339;0;0;2000;270;55;4
340;0;0;2000;270;59;4
341;0;0;2000;270;44;4
342;0;0;2000;260;33;4
343;0;0;2000;260;38;4
344;0;0;2000;260;41;4
345;0;0;2000;146;67;3
346;0;0;2000;146;29;3
347;0;0;2000;146;32;3
348;0;0;2000;50;51;1
349;0;0;2000;121;67;1
350;0;0;2000;121;60;1
351;0;0;2000;121;63;1
352;0;0;2000;293;54;2
353;0;0;2000;293;81;2
354;0;0;2000;285;76;3
355;0;0;2000;285;73;3
356;0;0;2000;285;64;3
357;0;0;2000;285;79;3
358;0;0;2000;121;77;1
359;0;0;2000;121;78;1
360;0;0;2000;102;NA;2
361;0;0;2000;102;56;2
362;0;0;2000;102;80;2
363;0;0;2000;146;57;3
364;0;0;2000;146;91;3
365;0;0;2001;193;17;3
366;0;0;2001;55;43;1
367;0;0;2001;55;58;1
368;0;0;2001;55;51;1
369;0;0;2001;55;55;1
370;0;0;2001;55;57;1
371;0;0;2001;55;53;1
372;0;0;2001;55;50;1
373;0;0;2001;55;57;1
374;0;0;2001;55;49;1
375;0;0;2001;55;49;1
376;0;0;2001;55;51;1
377;0;0;2001;90;60;1
378;0;0;2001;90;47;1
379;0;0;2001;90;33;1
380;0;0;2001;90;30;1
381;0;0;2001;90;31;1
382;0;0;2001;112;47;1
383;0;0;2001;112;49;1
384;0;0;2001;112;35;1
385;0;0;2001;112;46;1
386;0;0;2001;112;31;1
387;0;0;2001;112;40;1
388;0;0;2001;112;60;1
389;0;0;2001;112;36;1
390;0;0;2001;112;45;1
391;0;0;2001;112;40;1
392;0;0;2001;112;26;1
393;0;0;2001;112;35;1
394;0;0;2001;112;34;1
395;0;0;2001;112;28;1
396;0;0;2001;112;28;1
397;0;0;2001;112;26;1
398;0;0;2001;199;72;2
399;0;0;2001;199;63;2
400;0;0;2001;199;47;2
401;0;0;2001;199;56;2
402;0;0;2001;199;43;2
403;0;0;2001;199;55;2
404;0;0;2001;199;63;2
405;0;0;2001;199;49;2
406;0;0;2001;199;48;2
407;0;0;2001;199;67;2
408;0;0;2001;199;37;2
409;0;0;2001;199;38;2
410;0;0;2001;199;68;2
411;0;0;2001;199;51;2
412;0;0;2001;199;71;2
413;0;0;2001;199;59;2
414;0;0;2001;199;46;2
415;0;0;2001;199;39;2
416;0;0;2001;199;32;2
417;0;0;2001;98;54;3
418;0;0;2001;98;63;3
419;0;0;2001;98;57;3
420;0;0;2001;98;43;3
421;0;0;2001;98;56;3
422;0;0;2001;98;60;3
423;0;0;2001;98;59;3
424;0;0;2001;98;67;3
425;0;0;2001;98;53;3
426;0;0;2001;98;49;3
427;0;0;2001;98;54;3
428;0;0;2001;98;52;3
429;0;0;2001;98;54;3
430;0;0;2001;98;49;3
431;0;0;2001;98;55;3
432;0;0;2001;98;54;3
433;0;0;2001;98;40;3
434;0;0;2001;98;62;3
435;0;0;2001;98;46;3
436;0;0;2001;98;36;3
437;0;0;2001;98;49;3
438;0;0;2001;98;51;3
439;0;0;2001;98;53;3
440;0;0;2001;98;54;3
441;0;0;2001;98;56;3
442;0;0;2001;220;56;4
443;0;0;2001;220;60;4
444;0;0;2001;125;62;4
445;0;0;2001;125;65;4
446;0;0;2001;140;63;4
447;0;0;2001;140;49;4
448;0;0;2001;140;49;4
449;0;0;2001;140;45;4
450;0;0;2001;140;46;4
451;0;0;2001;140;55;4
452;0;0;2001;140;48;4
453;0;0;2001;140;41;4
454;0;0;2001;140;38;4
455;0;0;2001;228;71;4
456;0;0;2001;228;66;4
457;0;0;2001;228;49;4
458;0;0;2001;228;43;4
459;0;0;2001;228;41;4
460;0;0;2001;228;39;4
461;0;0;2001;228;34;4
462;0;0;2001;228;29;4
463;0;0;2001;228;29;4
464;0;0;2001;228;24;4
465;0;0;2001;228;23;4
466;0;0;2001;228;26;4
467;0;0;2001;228;19;4
468;0;0;2001;228;17;4
469;0;0;2001;228;18;4
470;0;0;2001;180;52;3
471;0;0;2001;180;62;3
472;0;0;2001;180;52;3
473;0;0;2001;180;38;3
474;0;0;2001;180;42;3
475;0;0;2001;180;36;3
476;0;0;2001;180;43;3
477;0;0;2001;180;50;3
478;0;0;2001;180;47;3
479;0;0;2001;180;54;3
480;0;0;2001;180;47;3
481;0;0;2001;180;39;3
482;0;0;2001;180;44;3
483;0;0;2001;193;71;3
484;0;0;2001;193;62;3
485;0;0;2001;193;57;3
486;0;0;2001;193;66;3
487;0;0;2001;193;47;3
488;0;0;2001;193;31;3
489;0;0;2001;193;25;3
490;0;0;2001;193;29;3
491;0;0;2001;193;25;3
492;0;0;2001;193;27;3
493;0;0;2001;122;72;3
494;0;0;2001;122;68;3
495;0;0;2001;122;61;3
496;0;0;2001;122;54;3
497;0;0;2001;122;48;3
498;0;0;2001;122;66;3
499;0;0;2001;122;55;3
500;0;0;2001;122;63;3
501;0;0;2001;122;47;3
502;0;0;2001;122;29;3
503;0;0;2001;122;25;3
504;0;0;2001;122;54;3
505;0;0;2001;122;61;3
506;0;0;2001;122;43;3
507;0;0;2001;122;27;3
508;0;0;2001;122;18;3
509;0;0;2001;122;17;3
510;0;0;2001;256;67;3
511;0;0;2001;256;48;3
512;0;0;2001;256;52;3
513;0;0;2001;256;46;3
514;0;0;2001;256;48;3
515;0;0;2001;256;38;3
516;0;0;2001;256;69;3
517;0;0;2001;256;45;3
518;0;0;2001;256;44;3
519;0;0;2001;283;65;2
520;0;0;2001;283;55;2
521;0;0;2001;283;62;2
522;0;0;2001;283;54;2
523;0;0;2001;283;59;2
524;0;0;2001;283;36;2
525;0;0;2001;283;38;2
526;0;0;2001;283;63;2
527;0;0;2001;283;49;2
528;0;0;2001;283;53;2
529;0;0;2001;283;47;2
530;0;0;2001;260;74;2
531;0;0;2001;260;35;2
532;0;0;2001;260;39;2
533;0;0;2001;276;26;2
534;0;0;2001;110;52;2
535;0;0;2001;110;62;2
536;0;0;2001;110;54;2
537;0;0;2001;110;51;2
538;0;0;2001;110;54;2
539;0;0;2001;110;48;2
540;0;0;2001;110;63;2
541;0;0;2001;110;52;2
542;0;0;2001;110;35;2
543;0;0;2001;110;54;2
544;0;0;2001;110;49;2
545;0;0;2001;110;65;2
546;0;0;2001;55;60;1
547;0;0;2001;55;54;1
548;0;0;2001;55;57;1
549;0;0;2001;55;51;1
550;0;0;2001;55;55;1
551;0;0;2001;55;51;1
552;0;0;2001;55;51;1
553;0;0;2001;55;44;1
554;0;0;2001;55;63;1
555;0;0;2001;55;54;1
556;0;0;2001;55;49;1
557;0;0;2001;55;53;1
558;0;0;2001;55;55;1
559;0;0;2001;55;54;1
560;0;0;2001;55;53;1
561;0;0;2001;90;70;1
562;0;0;2001;112;65;1
563;0;0;2001;98;57;3
564;0;0;2001;98;54;3
565;0;0;2001;220;94;4
566;0;0;2001;125;61;4
567;0;0;2001;228;57;4
568;0;0;2001;180;66;3
569;0;0;2001;180;59;3
570;0;0;2001;180;38;3
571;0;0;2001;193;63;3
572;0;0;2001;193;70;3
573;0;0;2001;193;64;3
574;0;0;2001;122;65;3
575;0;0;2001;256;60;3
576;0;0;2001;256;56;3
577;0;0;2001;283;49;2
578;0;0;2001;283;46;2
579;0;0;2001;283;55;2
580;0;0;2001;276;71;2
581;0;0;2001;110;59;2
582;0;0;2001;110;62;2
583;0;0;2001;110;60;2
584;0;0;2001;110;72;2
585;0;0;2001;110;55;2
586;0;0;2001;110;59;2
587;0;0;2001;110;63;2
588;0;0;2001;110;56;2
589;0;0;2001;110;56;2
590;0;0;2001;110;56;2
591;0;0;2001;110;50;2
592;0;0;2001;55;69;1
593;0;0;2001;55;53;1
594;0;0;2001;55;75;1
595;0;0;2001;55;58;1
596;0;0;2001;55;71;1
597;0;0;2001;55;74;1
598;0;0;2001;55;90;1
599;0;0;2001;55;93;1
600;0;0;2001;90;82;1
601;0;0;2001;90;72;1
602;0;0;2001;90;69;1
603;0;0;2001;112;72;1
604;0;0;2001;112;63;1
605;0;0;2001;112;63;1
606;0;0;2001;199;101;2
607;0;0;2001;199;70;2
608;0;0;2001;199;82;2
609;0;0;2001;199;72;2
610;0;0;2001;199;67;2
611;0;0;2001;199;69;2
612;0;0;2001;199;66;2
613;0;0;2001;199;NA;2
614;0;0;2001;98;83;3
615;0;0;2001;98;73;3
616;0;0;2001;98;62;3
617;0;0;2001;98;85;3
618;0;0;2001;98;67;3
619;0;0;2001;98;82;3
620;0;0;2001;98;78;3
621;0;0;2001;98;80;3
622;0;0;2001;98;59;3
623;0;0;2001;98;62;3
624;0;0;2001;98;62;3
625;0;0;2001;125;96;4
626;0;0;2001;125;66;4
627;0;0;2001;125;80;4
628;0;0;2001;125;71;4
629;0;0;2001;140;66;4
630;0;0;2001;140;54;4
631;0;0;2001;140;69;4
632;0;0;2001;228;91;4
633;0;0;2001;228;78;4
634;0;0;2001;228;76;4
635;0;0;2001;228;82;4
636;0;0;2001;193;91;3
637;0;0;2001;193;94;3
638;0;0;2001;122;92;3
639;0;0;2001;122;79;3
640;0;0;2001;122;73;3
641;0;0;2001;122;85;3
642;0;0;2001;122;74;3
643;0;0;2001;122;67;3
644;0;0;2001;122;68;3
645;0;0;2001;122;71;3
646;0;0;2001;122;75;3
647;0;0;2001;256;71;3
648;0;0;2001;256;71;3
649;0;0;2001;256;94;3
650;0;0;2001;256;69;3
651;0;0;2001;283;64;2
652;0;0;2001;283;66;2
653;0;0;2001;283;59;2
654;0;0;2001;110;65;2
655;1;1;1999;194;59;3
656;1;1;1999;194;56;3
657;1;1;1999;194;81;3
658;1;1;1999;235;52;4
659;1;1;1999;85;60;1
660;1;1;1999;85;52;1
661;1;1;1999;85;36;1
662;1;1;1999;85;48;1
663;1;1;1999;85;23;1
664;1;1;1999;137;74;1
665;1;1;1999;137;70;1
666;1;1;1999;150;57;2
667;1;1;1999;150;37;2
668;1;1;1999;150;54;2
669;1;1;1999;150;50;2
670;1;1;1999;100;51;2
671;1;1;1999;220;55;2
672;1;1;1999;220;35;2
673;1;1;1999;220;42;2
674;1;1;1999;99;58;3
675;1;1;1999;270;55;3
676;1;1;1999;270;60;3
677;1;1;1999;270;56;3
678;1;1;1999;270;45;3
679;1;1;1999;235;43;4
680;1;1;1999;235;43;4
681;1;1;1999;278;42;4
682;1;1;1999;200;67;1
683;1;1;1999;200;76;1
684;1;1;1999;200;60;1
685;1;1;1999;200;58;1
686;1;1;1999;200;58;1
687;1;1;1999;200;91;1
688;1;1;1999;292;NA;2
689;1;1;1999;99;50;3
690;1;1;1999;99;57;3
691;1;1;1999;278;73;4
692;1;1;1999;137;60;1
693;2;1;1999;194;72;3
694;2;1;1999;194;59;3
695;2;1;1999;85;65;1
696;2;1;1999;85;42;1
697;2;1;1999;200;61;1
698;2;1;1999;200;48;1
699;2;1;1999;137;55;1
700;2;1;1999;137;31;1
701;2;1;1999;292;59;2
702;2;1;1999;292;62;2
703;2;1;1999;99;53;3
704;2;1;1999;270;47;3
705;2;1;1999;270;47;3
706;2;1;1999;270;48;3
707;2;1;1999;270;34;3
708;2;1;1999;256;49;3
709;2;1;1999;172;53;3
710;2;1;1999;172;31;3
711;2;1;1999;235;55;4
712;2;1;1999;235;55;4
713;2;1;1999;278;60;4
714;2;1;1999;278;65;4
715;2;1;1999;110;52;4
716;2;1;1999;110;53;4
717;2;1;1999;200;58;1
718;2;1;1999;200;57;1
719;2;1;1999;200;63;1
720;2;1;1999;200;57;1
721;2;1;1999;200;52;1
722;2;1;1999;200;64;1
723;2;1;1999;200;56;1
724;2;1;1999;200;53;1
725;2;1;1999;200;55;1
726;3;1;1999;194;59;3
727;3;1;1999;235;28;4
728;3;1;1999;85;38;1
729;3;1;1999;85;52;1
730;3;1;1999;85;36;1
731;3;1;1999;85;31;1
732;3;1;1999;85;36;1
733;3;1;1999;85;32;1
734;3;1;1999;200;43;1
735;3;1;1999;137;42;1
736;3;1;1999;137;60;1
737;3;1;1999;256;53;3
738;3;1;1999;200;83;1
739;3;1;1999;200;55;1
740;3;1;1999;200;60;1
741;3;1;1999;200;64;1
742;3;1;1999;200;NA;1
743;3;1;1999;99;70;3
744;3;1;1999;99;54;3
745;3;1;1999;137;76;1
746;3;1;1999;137;77;1
747;4;1;1999;235;39;4
748;4;1;1999;85;38;1
749;4;1;1999;137;51;1
750;4;1;1999;220;42;2
751;4;1;1999;270;81;3
752;4;1;1999;270;41;3
753;4;1;1999;256;62;3
754;4;1;1999;256;61;3
755;4;1;1999;256;57;3
756;4;1;1999;278;50;4
757;4;1;1999;278;29;4
758;4;1;1999;110;30;4
759;4;1;1999;110;39;4
760;4;1;1999;85;60;1
761;4;1;1999;200;57;1
762;4;1;1999;200;65;1
763;4;1;1999;110;55;4
764;5;1;1999;194;55;3
765;5;1;1999;194;62;3
766;5;1;1999;235;41;4
767;5;1;1999;85;43;1
768;5;1;1999;150;55;2
769;5;1;1999;220;64;2
770;5;1;1999;220;61;2
771;5;1;1999;220;62;2
772;5;1;1999;270;54;3
773;5;1;1999;200;62;1
774;5;1;1999;200;56;1
775;5;1;1999;137;49;1
776;6;1;1999;85;37;1
777;6;1;1999;200;32;1
778;6;1;1999;137;64;1
779;6;1;1999;150;62;2
780;6;1;1999;270;58;3
781;6;1;1999;235;59;4
782;6;1;1999;235;40;4
783;6;1;1999;278;52;4
784;6;1;1999;200;57;1
785;6;1;1999;200;64;1
786;6;1;1999;200;54;1
787;7;1;1999;235;42;4
788;7;1;1999;85;56;1
789;7;1;1999;137;64;1
790;7;1;1999;150;52;2
791;7;1;1999;150;54;2
792;7;1;1999;220;59;2
793;7;1;1999;278;74;4
794;7;1;1999;278;46;4
795;7;1;1999;278;54;4
796;7;1;1999;137;86;1
797;8;1;1999;137;33;1
798;8;1;1999;235;45;4
799;8;1;1999;200;48;1
800;8;1;1999;220;57;2
801;8;1;1999;99;67;3
802;9;1;1999;85;51;1
803;9;1;1999;270;48;3
804;9;1;1999;278;68;4
805;9;1;1999;200;60;1
806;10;1;1999;235;36;4
807;10;1;1999;200;71;1
808;10;1;1999;235;42;4
809;10;1;1999;278;29;4
810;10;1;1999;200;62;1
811;10;1;1999;200;56;1
812;10;1;1999;137;61;1
813;10;1;1999;99;59;3
814;11;1;1999;235;49;4
815;11;1;1999;292;64;2
816;11;1;1999;270;49;3
817;11;1;1999;200;57;1
818;12;1;1999;194;50;3
819;12;1;1999;137;30;1
820;12;1;1999;292;54;2
821;12;1;1999;278;39;4
822;12;1;1999;278;62;4
823;12;1;1999;85;54;1
824;12;1;1999;200;53;1
825;13;1;1999;137;47;1
826;13;1;1999;270;38;3
827;13;1;1999;110;50;4
828;14;1;1999;85;62;1
829;14;1;1999;99;47;3
830;14;1;1999;200;53;1
831;14;1;1999;110;52;4
832;15;1;1999;235;50;4
833;15;1;1999;278;37;4
834;15;1;1999;270;55;3
835;16;1;1999;235;47;4
836;16;1;1999;278;39;4
837;16;1;1999;200;59;1
838;16;1;1999;110;57;4
839;17;1;1999;137;40;1
840;17;1;1999;292;62;2
841;17;1;1999;200;59;1
842;17;1;1999;278;58;4
843;18;1;1999;150;60;2
844;18;1;1999;270;40;3
845;18;1;1999;235;43;4
846;19;1;1999;172;30;3
847;19;1;1999;200;53;1
848;20;1;1999;200;46;1
849;20;1;1999;278;40;4
850;21;1;1999;256;54;3
851;21;1;1999;278;29;4
852;21;1;1999;278;58;4
853;22;1;1999;278;30;4
854;22;1;1999;200;52;1
855;23;1;1999;235;53;4
856;23;1;1999;235;56;4
857;24;1;1999;235;49;4
858;25;1;1999;235;49;4
859;25;1;1999;110;49;4
860;26;1;1999;137;56;1
861;27;1;1999;137;68;1
862;28;1;1999;292;46;2
863;28;1;1999;235;56;4
864;28;1;1999;235;59;4
865;32;1;1999;270;53;3
866;33;1;1999;278;37;4
867;35;1;1999;235;30;4
868;35;1;1999;235;53;4
869;36;1;1999;292;45;2
870;38;1;1999;278;28;4
871;39;1;1999;235;44;4
872;41;1;1999;137;38;1
873;41;1;1999;200;61;1
874;45;1;1999;278;27;4
875;50;1;1999;137;51;1
876;51;1;1999;235;36;4
877;52;1;1999;200;53;1
878;56;1;1999;235;43;4
879;65;1;1999;278;30;4
880;68;1;1999;235;34;4
881;73;1;1999;235;29;4
882;84;1;1999;150;58;2
883;86;1;1999;278;28;4
884;126;1;1999;235;52;4
885;160;1;1999;235;42;4
886;183;1;1999;235;30;4
944;1;1;2000;121;49;1
945;1;1;2000;121;62;1
946;1;1;2000;121;51;1
947;1;1;2000;121;52;1
948;1;1;2000;121;78;1
949;1;1;2000;121;51;1
950;1;1;2000;293;62;2
951;1;1;2000;293;51;2
952;1;1;2000;237;59;2
953;1;1;2000;237;36;2
954;1;1;2000;285;58;3
955;1;1;2000;285;59;3
956;1;1;2000;285;62;3
957;1;1;2000;285;53;3
958;1;1;2000;285;60;3
959;1;1;2000;285;53;3
960;1;1;2000;285;49;3
961;1;1;2000;270;36;4
962;1;1;2000;260;56;4
963;1;1;2000;121;61;1
964;1;1;2000;121;76;1
965;1;1;2000;102;63;2
966;1;1;2000;293;82;2
967;1;1;2000;237;71;2
968;1;1;2000;285;60;3
969;1;1;2000;285;64;3
970;1;1;2000;285;64;3
971;2;1;2000;121;56;1
972;2;1;2000;121;89;1
973;2;1;2000;102;45;2
974;2;1;2000;102;69;2
975;2;1;2000;102;40;2
976;2;1;2000;285;64;3
977;2;1;2000;285;54;3
978;2;1;2000;285;52;3
979;2;1;2000;270;69;4
980;2;1;2000;270;40;4
981;2;1;2000;146;42;3
982;2;1;2000;121;61;1
983;2;1;2000;121;67;1
984;2;1;2000;121;65;1
985;2;1;2000;146;60;3
986;2;1;2000;146;59;3
